"","Layer","Element","corr_koef","P_VAL"
"1","HYP","Al",0.0492753623188406,0.747874842201309
"2","HYP","As",-0.222545258547492,0.141733272274575
"3","HYP","Cd",0.475707368748467,0.000957691001906802
"4","HYP","Co",0.491057017954725,0.00061461764556027
"5","HYP","Cr",-0.0228089302778711,0.881774136844149
"6","HYP","Cu",0.0483530961791831,0.752443256789048
"7","HYP","Fe",-0.141238471673254,0.354734201087472
"8","HYP","Mn",0.684848484848485,2.11823507301705e-07
"9","HYP","Ni",0.140184453227931,0.358372944872355
"10","HYP","Pb",-0.178532682802266,0.240640251864595
"11","HYP","S",-0.0250329380764163,0.870340447445294
"12","HYP","Zn",0.374571805006588,0.0112436454844365
"13","SUL","Al",0.161224333017905,0.226644536781369
"14","SUL","As",-0.0826832374230626,0.537203691425045
"15","SUL","Cd",0.837775898761616,2.41587793289294e-16
"16","SUL","Co",0.81196068718741,1.04642972818318e-14
"17","SUL","Cr",-0.193287393919828,0.146019140325064
"18","SUL","Cu",0.433223102822202,0.00068162184355559
"19","SUL","Fe",0.118280396957421,0.376535773416672
"20","SUL","Mn",0.796185496502466,7.96312018867226e-14
"21","SUL","Ni",0.620349150856531,2.05973553027465e-07
"22","SUL","Pb",0.426644402074298,0.000838769798449177
"23","SUL","S",0.646435438664045,4.22543268349798e-08
"24","SUL","Zn",0.692455587909377,1.72833388832697e-09
"25","TZ","Al",-0.0578512705391142,0.81963708879177
"26","TZ","As",0.422520886616031,0.0806724604729093
"27","TZ","Cd",-0.551938058201376,0.0175567209920069
"28","TZ","Co",0.228305906949004,0.362190794575549
"29","TZ","Cr",-0.377066316906727,0.122953512201656
"30","TZ","Cu",0.703512772091729,0.00112344704798309
"31","TZ","Fe",-0.241735666181299,0.33384166668148
"32","TZ","Mn",0.757231809020906,0.000273840948842176
"33","TZ","Ni",-0.136363709127912,0.589514837279542
"34","TZ","Pb",0.221532209797863,0.376989410879229
"35","TZ","S",0.76549627624078,0.000213561642980825
"36","TZ","Zn",0.108471132260839,0.668335564614169
"37","TZ (inc)","Al",0.255882352941176,0.338789908071246
"38","TZ (inc)","As",0.241888958021094,0.366749798872823
"39","TZ (inc)","Cd",0.558823529411765,0.0244365114245058
"40","TZ (inc)","Co",0.720588235294118,0.00163819116387961
"41","TZ (inc)","Cr",-0.282352941176471,0.289349829063274
"42","TZ (inc)","Cu",0.0205882352941176,0.939673739789045
"43","TZ (inc)","Fe",-0.279411764705882,0.294617653568415
"44","TZ (inc)","Mn",0.629411764705882,0.00898808926444689
"45","TZ (inc)","Ni",0.444117647058824,0.0848227441774159
"46","TZ (inc)","Pb",0.473877979652734,0.0636965432589284
"47","TZ (inc)","S",0.285294117647059,0.284138740159563
"48","TZ (inc)","Zn",0.555882352941176,0.025362176320608
