"","Layer","Treatment","Element","25q","50q","75q"
"1","1","Non-incubated","Al",0.57233490491409,1.00697123885274,5.96059719854442
"2","1","Non-incubated","As",0.0488221153846154,0.133757034737046,0.2484137229387
"3","1","Non-incubated","Cd",16.1968196819682,21.0791823774558,50.3116400888506
"4","1","Non-incubated","Co",16.1921728971963,26.163259902563,52.9703297429459
"5","1","Non-incubated","Cr",0.222222222222222,0.700157656907482,2.1438723540673
"6","1","Non-incubated","Cu",1.09517329734975,1.91360761398521,6.36961128402093
"7","1","Non-incubated","Fe",0.0494083968876957,0.214659696767744,1.00551808868519
"8","1","Non-incubated","Mn",23.5932399692999,33.5779199202525,48.0545990334641
"9","1","Non-incubated","Ni",22.0648599066044,33.6018024032043,57.4990172444007
"10","1","Non-incubated","Pb",0.105674616410941,0.199989402553361,0.44565737754485
"11","1","Non-incubated","S",25.2972027972028,47.7752118297812,63.912029195282
"12","1","Non-incubated","Zn",7.75776007534435,12.3048030644235,32.4281930748708
"13","2","Incubated","Al",23.3258659922151,32.3488112227953,80.0443632118859
"14","2","Incubated","As",0.32890625,0.687413270790579,17.9788277497939
"15","2","Incubated","Cd",43.6754032258064,53.3099207659294,65.6864055607539
"16","2","Incubated","Co",100.313783089094,155.486335059774,254.334877564527
"17","2","Incubated","Cr",4.15469559269031,13.4578783151326,46.8787420170303
"18","2","Incubated","Cu",9.85076955074875,22.0069481560663,53.4430814473589
"19","2","Incubated","Fe",1.2569354948111,3.01309460181721,82.3826156698419
"20","2","Incubated","Mn",86.8733776811514,130.362546894393,240.087084713821
"21","2","Incubated","Ni",85.8299260989918,105.298800184587,183.686300463269
"22","2","Incubated","Pb",0.172322991676026,0.300539977264115,0.602434578165463
"23","2","Incubated","S",526.978256995188,973.177069236182,1951.08135328972
"24","2","Incubated","Zn",43.1457131565997,68.4933300247979,89.6831196439248
"25","2","Non-incubated","Al",0.129123681766856,0.317858988937936,0.489900052849143
"26","2","Non-incubated","As",0.862751490909121,2.39064265653395,3.32581280742294
"27","2","Non-incubated","Cd",1.67158682816187,3.67420196946666,12.3245051508122
"28","2","Non-incubated","Co",7.12687689121329,23.0573549038117,38.100925860513
"29","2","Non-incubated","Cr",0.317249334866009,0.539156901785423,1.37738782543136
"30","2","Non-incubated","Cu",0.419781845997644,0.631456951688655,0.849775571013951
"31","2","Non-incubated","Fe",0.0995799170131462,0.356059668234712,1.01343471897229
"32","2","Non-incubated","Mn",14.0373010895241,21.376935963973,23.7651546855208
"33","2","Non-incubated","Ni",6.67468991686336,15.3682836560703,28.1901880029122
"34","2","Non-incubated","Pb",0.0373649281660284,0.0711639405660042,0.20880407285349
"35","2","Non-incubated","S",81.1640845654811,103.131680258725,124.154696231642
"36","2","Non-incubated","Zn",1.57782820312721,3.20331470746875,6.47468511784479
"37","3","Incubated","Al",6.67896713243326,30.4776789629265,59.4732409898793
"38","3","Incubated","As",0.640111350964195,2.26498955951079,13.2638255604063
"39","3","Incubated","Cd",40.5876761545433,65.4442211055276,90.0141157938685
"40","3","Incubated","Co",78.8023731868237,178.912445379511,281.714027049888
"41","3","Incubated","Cr",1.38973029201596,7.90627448187451,36.1172587379717
"42","3","Incubated","Cu",8.34126072197746,29.6474626184167,60.6993348229698
"43","3","Incubated","Fe",0.433389662029545,3.00439701237512,33.5274626229591
"44","3","Incubated","Mn",82.6046379165628,127.613516010165,189.730018776311
"45","3","Incubated","Ni",81.2258499566224,134.221603526565,165.991285356728
"46","3","Incubated","Pb",0.0505871436843261,0.170432974780801,0.872638548289733
"47","3","Incubated","S",429.955275266478,1053.99010192985,3389.45643768661
"48","3","Incubated","Zn",26.4305671660323,61.561383814675,83.1429662194708
